id,latitud,longitud,sector,tipo,C01-BANCOS,C05-CENTRALES CAMIONERAS,C06-CENTROS COMERCIALES,C09-CUARTELES DE LA POLICÍA AUXILIAR,C10-CUARTELES PBI,C11-CUARTELES PGJ,C13-EDUCACION,C15-HOSPITALES,C16-JUZGADOS CIVILES Y PENALES,C19-METROBUS,C20-MINISTERIOR PUBLICOS,C21-MODULOS SSP,C22-MONUMENTOS HISTORICOS,C23-NOTARIAS,C24-OFICINAS DE GOBIERNO,C26-PLAZAS Y PARQUES,C27-RECLUSORIOS,C30-TESORERIAS,C31-TREN LIGERO,C33-IGLESIAS Y TEMPLOS,C38-MERCADOS PUBLICOS,C42-TROLEBUS,C43-TURIBUS,C44-GUARDERIAS,C45-CENTROS DE SALUD Y CLINICAS,C46-ESTABLECIMIENTOS MERCANTILES,C49-TIENDAS DEPARTAMENTALES,C51-EDIFICIOS,C53-CINES,C57-EVENTOS MASIVOS,C58-CASAS Y CENTROS DE CULTURA,C59-MUSEOS Y TEATROS,C62-OXXO,C67-CENTROS PILARES,C72-ACCESOS METRO,C73-ATRACTIVOS TURISTICOS,C75-FONOTECAS,C76-FOTOTECA,C77-GALERIAS,C78-ZONAS ARQUEOLOGICAS,C81-ESTACIONES DE CABLEBUS,C82-ALCALDIAS
1346,19.425048,-99.135482,ALAMEDA,9m,20,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0,0,0,1,392,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0
1354,19.429468,-99.143403,ALAMEDA,9m,15,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,1,2,1,0,0,0,894,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1361,19.429189,-99.142622,ALAMEDA,9m,15,0,1,0,0,0,0,0,0,4,0,0,1,0,0,1,0,0,0,1,1,2,0,0,0,1566,1,0,0,0,0,0,2,0,2,0,0,0,1,0,0,0
1363,19.4296,-99.148547,ALAMEDA,9m,1,0,0,0,0,0,3,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,1,0,369,0,0,0,0,2,2,1,0,0,1,0,1,0,0,0,0
1511,19.432547,-99.122763,CONGRESO,9m,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,153,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1572,19.423982,-99.120034,CONGRESO,9m,3,0,0,0,0,0,3,0,0,2,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,111,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1573,19.423545,-99.11629,CONGRESO,9m,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1574,19.422272,-99.118104,CONGRESO,9m,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1580,19.439092,-99.119386,CONGRESO,9m,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,12,0,0,0,0,0,0,4,0,0,0,0,0,0,0
1667,19.438544,-99.133353,CENTRO,9m,7,0,0,0,0,0,2,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,769,0,0,0,1,1,5,1,1,0,4,0,1,1,0,0,0
